-19.9638,0.819231,0.13143,5,31,0,24.8353,2.3834,2.01851,1.4337,1.75452,0.115716,0.9802,1.2998,0.453409,0.0500398,1.65927,1.50493,0.224792,0.310493,0.885536,3.5415,2.65655,2.26326,3.23489,3.17526,1.76281,2.41364,4.31595,3.73153,1.97415,1.83691
-28.8364,0.894785,0.13143,5,31,0,34.8342,12.8328,0.997833,1.77695,1.39009,0.355345,1.93969,0.179126,0.776193,1.68511,-1.169,-0.611636,0.372606,0.283032,-1.09939,1.38708,1.42527,1.49382,1.58719,1.69594,1.80969,1.91895,2.01573,2.09322,2.14492,2.16397
-24.0948,0.991329,0.13143,5,31,0,27.1226,6.83529,3.18454,1.27031,0.457415,1.0051,-0.0575011,0.354991,-0.215503,1.18471,1.33725,0.329046,0.923606,1.20182,0.213716,1.45666,2.31247,2.8914,3.12975,3.03642,2.73699,2.48262,2.54697,3.05972,3.92585,4.90456
-21.2297,0.946356,0.13143,5,31,0,28.2028,6.38602,3.17091,1.30966,0.799247,0.230715,0.113891,-0.218221,1.97758,0.400298,0.0880506,-0.605491,-0.925624,-0.343262,0.0349442,2.53434,2.63667,2.53543,2.20736,1.92984,2.06198,2.70257,3.5411,4.02593,3.70762,2.51589
-25.4166,0.958197,0.13143,5,31,0,29.6873,1.8887,2.38174,1.43826,2.20539,-0.939944,2.46483,0.97374,-0.25855,1.94719,0.780499,2.33136,0.530161,-0.247907,1.78464,5.25269,1.16024,3.72364,5.24834,1.76362,3.47142,4.31383,6.00334,4.7973,1.11831,3.05176
-23.0898,0.994881,0.13143,4,15,0,27.7121,3.50886,3.33719,1.88081,0.403978,0.727858,-0.433847,0.525004,-0.3615,1.1975,0.839242,-0.745954,0.320583,0.894613,-0.917469,1.34815,2.42531,2.05017,1.3095,0.763577,1.06834,2.64996,3.4725,2.31356,1.40313,1.34753
-23.0761,0.997725,0.13143,5,31,0,29.8962,4.18788,2.76935,1.57333,0.359991,1.24773,0.125161,0.689946,0.760658,0.833843,1.0511,-0.551674,-0.548084,2.05958,0.774203,0.996943,2.44992,3.22709,3.33295,3.31563,3.56828,4.11175,4.38428,3.55567,2.16007,1.93292
-22.8387,0.886063,0.13143,3,7,0,26.6802,1.857,4.64521,1.39941,1.0419,-0.302341,0.206085,0.224666,0.00287654,0.0280982,0.992197,0.695044,1.08333,-0.459578,1.2439,4.83982,1.54625,0.373073,1.26845,0.76939,0.241895,3.63636,5.39046,6.45937,1.941,3.74236
-27.2042,0.908468,0.13143,3,7,0,30.7106,3.44455,2.19356,1.41096,1.56469,0.643273,-0.827437,0.463331,1.29748,1.24459,0.693229,1.45185,-0.887271,-0.132081,-0.521319,3.43224,3.65468,2.16186,0.63441,0.89258,2.6135,4.03138,4.58913,4.0391,2.18774,0.109117
-24.8869,0.99171,0.13143,5,31,0,33.0485,4.17489,3.02182,1.54361,0.777851,1.13962,0.975108,0.203029,0.197916,1.19968,-0.645113,1.23369,-1.46466,0.873828,0.261494,2.35053,3.65516,4.79056,5.09899,4.42758,3.65142,3.21593,2.90519,2.33168,1.33029,0.51
-24.1405,0.974666,0.13143,4,31,0,34.9501,7.19698,2.51768,1.21845,1.38799,-0.279946,0.0282453,0.862901,0.646925,0.665034,-1.13624,-1.14901,-0.280088,-0.0137327,0.364461,3.49451,3.17,2.64574,2.13206,1.821,1.81085,2.04532,2.30611,2.29808,1.80815,0.84595
